Landing Page,Query,Clicks,Impressions,CTR,Position
https://www.aig.com.hk/zh/personal/annual-travel-insurance,海外保險一年,3,13,0.230769231,3.769230769
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig旅遊保險,2,916,0.002183406,4.001091703
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia單次旅遊保險,2,70,0.028571429,6.042857143
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅遊保,2,121,0.016528926,7.041322314
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險 aia,2,192,0.010416667,6.375
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險比較,2,84,0.023809524,14.94047619
https://www.aig.com.hk/zh/personal/annual-travel-insurance,友邦旅遊保險,1,56,0.017857143,3.589285714
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險保障期,1,68,0.014705882,3.426470588
https://www.aig.com.hk/zh/personal/annual-travel-insurance,大陸旅遊保險,1,6,0.166666667,10.66666667
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅遊保,1,167,0.005988024,6.868263473
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅游保险,1,46,0.02173913,6.52173913
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅游保险,1,112,0.008928571,6.178571429
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險aia,1,61,0.016393443,6
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig保險,0,2,0,2
https://www.aig.com.hk/zh/personal/annual-travel-insurance,滙豐 旅遊保,0,12,0,5.833333333
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅遊保險投保,0,5,0,6.6
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅行保险,0,22,0,5.863636364
https://www.aig.com.hk/zh/personal/annual-travel-insurance,最好旅遊保險,0,1,0,10
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊 保險一年,0,1,0,2
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig,0,85,0,4.117647059
https://www.aig.com.hk/zh/personal/annual-travel-insurance,價錢,0,1,0,7
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig travel,0,2,0,1
https://www.aig.com.hk/zh/personal/annual-travel-insurance,內地旅遊保險,0,3,0,13.33333333
https://www.aig.com.hk/zh/personal/annual-travel-insurance,一年期海外工作保險,0,1,0,6
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 智遊保,0,13,0,8.307692308
https://www.aig.com.hk/zh/personal/annual-travel-insurance,滙豐旅遊保險,0,3,0,8
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅行保險,0,41,0,5.707317073
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia索償進度,0,3,0,29
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅遊 保險,0,7,0,9.142857143
https://www.aig.com.hk/zh/personal/annual-travel-insurance,無限次賠償,0,1,0,68
https://www.aig.com.hk/zh/personal/annual-travel-insurance,高壓氧治療費用香港,0,1,0,35
https://www.aig.com.hk/zh/personal/annual-travel-insurance,即日來回大陸,0,4,0,40.5
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅遊,0,2,0,5
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險 比較,0,10,0,15
https://www.aig.com.hk/zh/personal/annual-travel-insurance,bowtie 旅遊保,0,45,0,7.266666667
https://www.aig.com.hk/zh/personal/annual-travel-insurance,智遊保,0,2,0,7
https://www.aig.com.hk/zh/personal/annual-travel-insurance,bowtie旅遊保險,0,23,0,6.304347826
https://www.aig.com.hk/zh/personal/annual-travel-insurance,公幹旅遊,0,2,0,18.5
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig 旅遊 保險,0,7,0,4
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅游 保险,0,1,0,6
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig 保險,0,7,0,5.714285714
https://www.aig.com.hk/zh/personal/annual-travel-insurance,綜合旅遊保險,0,2,0,32
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全 年 旅遊 保險,0,18,0,2.833333333
https://www.aig.com.hk/zh/personal/annual-travel-insurance,bowtie旅遊保,0,43,0,7.465116279
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅行保險,0,3,0,7
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險 aig,0,74,0,3.972972973
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia智遊保,0,14,0,8.142857143
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險日期,0,1,0,14
https://www.aig.com.hk/zh/personal/annual-travel-insurance,保險,0,1,0,5
https://www.aig.com.hk/zh/personal/annual-travel-insurance,盲腸炎 保險,0,1,0,35
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險優惠,0,1,0,31
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig 旅遊保,0,225,0,4.08
https://www.aig.com.hk/zh/personal/annual-travel-insurance,單次旅遊保險 比較,0,1,0,16
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig 旅游保险,0,60,0,4
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全 年 旅遊 保險 比較,0,8,0,13.875
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig旅遊保,0,134,0,4.119402985
https://www.aig.com.hk/zh/personal/annual-travel-insurance,美亞保險,0,7,0,3
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險,0,1,0,8
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 醫療卡,0,1,0,37
https://www.aig.com.hk/zh/personal/annual-travel-insurance,大陸即日來回,0,2,0,38.5
https://www.aig.com.hk/zh/personal/auto,車保,1942,11657,0.166595179,1.43235824
https://www.aig.com.hk/zh/personal/auto,汽車保險,1774,14876,0.119252487,1.164157031
https://www.aig.com.hk/zh/personal/auto,車保險,251,1691,0.14843288,1.086339444
https://www.aig.com.hk/zh/personal/auto,汽車保險報價,207,1324,0.156344411,1.416163142
https://www.aig.com.hk/zh/personal/auto,車保報價,122,748,0.163101604,1.92513369
https://www.aig.com.hk/zh/personal/auto,aig 車保,115,699,0.164520744,1
https://www.aig.com.hk/zh/personal/auto,三保報價,81,776,0.104381443,3.505154639
https://www.aig.com.hk/zh/personal/auto,車保計算機,81,588,0.137755102,1.573129252
https://www.aig.com.hk/zh/personal/auto,車保即時報價,73,450,0.162222222,2.155555556
https://www.aig.com.hk/zh/personal/auto,車保 網上報價,61,270,0.225925926,1.488888889
https://www.aig.com.hk/zh/personal/auto,車 保險,55,372,0.147849462,1.260752688
https://www.aig.com.hk/zh/personal/auto,aig車保,53,246,0.215447155,1
https://www.aig.com.hk/zh/personal/auto,網上車保,48,262,0.183206107,1.63740458
https://www.aig.com.hk/zh/personal/auto,車保比較,47,1357,0.034635225,7.61385409
https://www.aig.com.hk/zh/personal/auto,車保價錢,41,499,0.082164329,2.619238477
https://www.aig.com.hk/zh/personal/auto,車輛保險,41,290,0.14137931,1.182758621
https://www.aig.com.hk/zh/personal/auto,汽車保險即時報價,39,426,0.091549296,2.389671362
https://www.aig.com.hk/zh/personal/auto,全保報價,35,174,0.201149425,1.454022989
https://www.aig.com.hk/zh/personal/auto,車保邊間好,35,869,0.04027618,7.510932106
https://www.aig.com.hk/zh/personal/auto,車保最平,33,729,0.04526749,4.633744856
https://www.aig.com.hk/zh/personal/auto,aia 車保,33,143,0.230769231,1.965034965
https://www.aig.com.hk/zh/personal/auto,車保網上報價,32,187,0.171122995,1.695187166
https://www.aig.com.hk/zh/personal/auto,私家車保險,32,498,0.064257028,3.785140562
https://www.aig.com.hk/zh/personal/auto,汽車保險 報價,30,169,0.177514793,1.372781065
https://www.aig.com.hk/zh/personal/auto,汽车保险,29,235,0.123404255,1.506382979
https://www.aig.com.hk/zh/personal/auto,汽車保险,26,157,0.165605096,1.101910828
https://www.aig.com.hk/zh/personal/auto,汽車保險網上報價,26,269,0.096654275,2.05204461
https://www.aig.com.hk/zh/personal/auto,aig 汽車保險,26,99,0.262626263,1
https://www.aig.com.hk/zh/personal/auto,aig汽車保險,24,155,0.15483871,1
https://www.aig.com.hk/zh/personal/auto,汽車保險邊間好2022,22,987,0.022289767,8.276595745
https://www.aig.com.hk/zh/personal/auto,網上車保報價,20,58,0.344827586,1.568965517
https://www.aig.com.hk/zh/personal/auto,汽車保險查詢,20,159,0.125786164,1.025157233
https://www.aig.com.hk/zh/personal/auto,汽車三保報價,19,223,0.085201794,3.058295964
https://www.aig.com.hk/zh/personal/auto,汽車保險費用,18,379,0.047493404,3.110817942
https://www.aig.com.hk/zh/personal/auto,車保險費,18,276,0.065217391,3.09057971
https://www.aig.com.hk/zh/personal/auto,汽車保險價錢比較,17,837,0.020310633,7.592592593
https://www.aig.com.hk/zh/personal/auto,網上汽車保險,17,136,0.125,1.345588235
https://www.aig.com.hk/zh/personal/auto,aia車保,16,62,0.258064516,2.016129032
https://www.aig.com.hk/zh/personal/auto,車保险,16,101,0.158415842,1.089108911
https://www.aig.com.hk/zh/personal/auto,車保 報價,14,154,0.090909091,1.941558442
https://www.aig.com.hk/zh/personal/auto,保險報價,13,191,0.068062827,2.298429319
https://www.aig.com.hk/zh/personal/auto,汽車保,13,120,0.108333333,1.083333333
https://www.aig.com.hk/zh/personal/auto,車險報價,13,77,0.168831169,1.220779221
https://www.aig.com.hk/zh/personal/auto,車險,12,185,0.064864865,1.162162162
https://www.aig.com.hk/zh/personal/auto,aig,12,6473,0.001853854,1.81554148
https://www.aig.com.hk/zh/personal/auto,私家車保險價錢,12,230,0.052173913,3.160869565
https://www.aig.com.hk/zh/personal/auto,車 三保,11,64,0.171875,2.71875
https://www.aig.com.hk/zh/personal/auto,香港汽车保险,10,128,0.078125,2.484375
https://www.aig.com.hk/zh/personal/auto,3保報價,10,91,0.10989011,3.296703297
https://www.aig.com.hk/zh/personal/auto,汽車保險公司,10,124,0.080645161,1.887096774
https://www.aig.com.hk/zh/personal/auto,香港汽車保險,9,141,0.063829787,2.631205674
https://www.aig.com.hk/zh/personal/auto,汽車保險邊間好,9,397,0.022670025,8.508816121
https://www.aig.com.hk/zh/personal/auto,車保邊間平,9,171,0.052631579,5.257309942
https://www.aig.com.hk/zh/personal/auto,車保險公司,9,70,0.128571429,1.757142857
https://www.aig.com.hk/zh/personal/auto,車保險報價,9,43,0.209302326,1.930232558
https://www.aig.com.hk/zh/personal/auto,三保網上報價,8,77,0.103896104,3.571428571
https://www.aig.com.hk/zh/personal/auto,汽車保險介紹,8,151,0.052980132,5.251655629
https://www.aig.com.hk/zh/personal/auto,保險 車,8,43,0.186046512,1.813953488
https://www.aig.com.hk/zh/personal/auto,p牌車保即時報價,8,183,0.043715847,5.732240437
https://www.aig.com.hk/zh/personal/auto,汽車保險試算,8,37,0.216216216,2.243243243
https://www.aig.com.hk/zh/personal/auto,最平車保,7,153,0.045751634,5.960784314
https://www.aig.com.hk/zh/personal/auto,車保公司,7,56,0.125,1.75
https://www.aig.com.hk/zh/personal/auto,三保 報價,6,52,0.115384615,3.211538462
https://www.aig.com.hk/zh/personal/auto,車三保,6,86,0.069767442,2.941860465
https://www.aig.com.hk/zh/personal/auto,汽車保險推薦,6,173,0.034682081,5.653179191
https://www.aig.com.hk/zh/personal/auto,車保 價錢,5,87,0.057471264,2.632183908
https://www.aig.com.hk/zh/personal/auto,车保险,5,58,0.086206897,1.120689655
https://www.aig.com.hk/zh/personal/auto,公司車保險,5,48,0.104166667,9.0625
https://www.aig.com.hk/zh/personal/auto,車保 25歲以下,5,51,0.098039216,5.117647059
https://www.aig.com.hk/zh/personal/auto,車保 即時報價,5,35,0.142857143,4.057142857
https://www.aig.com.hk/zh/personal/auto,汽車保費,5,27,0.185185185,2.777777778
https://www.aig.com.hk/zh/personal/auto,汽車保單,4,20,0.2,1.6
https://www.aig.com.hk/zh/personal/auto,車輛 保險,4,50,0.08,1.14
https://www.aig.com.hk/zh/personal/auto,買汽車保險,4,34,0.117647059,1.529411765
https://www.aig.com.hk/zh/personal/auto,私家車三保,4,58,0.068965517,5.551724138
https://www.aig.com.hk/zh/personal/auto,汽車保險 網上報價,4,38,0.105263158,1.868421053
https://www.aig.com.hk/zh/personal/auto,汽車 保險,4,116,0.034482759,1.189655172
https://www.aig.com.hk/zh/personal/auto,電單車保險邊間好,4,110,0.036363636,15.46363636
https://www.aig.com.hk/zh/personal/auto,qbe車保報價,4,89,0.04494382,9.808988764
https://www.aig.com.hk/zh/personal/auto,買車保,4,80,0.05,2.8875
https://www.aig.com.hk/zh/personal/auto,汽車全保邊間好,4,124,0.032258065,8.693548387
https://www.aig.com.hk/zh/personal/auto,買車保險,4,69,0.057971014,2.637681159
https://www.aig.com.hk/zh/personal/auto,香港車保,4,59,0.06779661,2.06779661
https://www.aig.com.hk/zh/personal/auto,舊車保險,4,38,0.105263158,1.973684211
https://www.aig.com.hk/zh/personal/auto,汽車保險 即時報價,4,16,0.25,2.0625
https://www.aig.com.hk/zh/personal/auto,车保,3,39,0.076923077,1.282051282
https://www.aig.com.hk/zh/personal/auto,車牌保險,3,34,0.088235294,2.088235294
https://www.aig.com.hk/zh/personal/auto,受保車輛估值,3,35,0.085714286,2.428571429
https://www.aig.com.hk/zh/personal/auto,車保 比較,3,92,0.032608696,7.608695652
https://www.aig.com.hk/zh/personal/auto,25歲以下汽車保險,3,118,0.025423729,5.110169492
https://www.aig.com.hk/zh/personal/auto,商用車保險報價,3,36,0.083333333,10.88888889
https://www.aig.com.hk/zh/personal/auto,最平汽車保險,3,78,0.038461538,4.820512821
https://www.aig.com.hk/zh/personal/auto,安聯私家汽車保險計劃,3,42,0.071428571,8.5
https://www.aig.com.hk/zh/personal/auto,新車全保價錢,3,105,0.028571429,5.876190476
https://www.aig.com.hk/zh/personal/auto,車保續保,3,87,0.034482759,3.793103448
https://www.aig.com.hk/zh/personal/auto,全保三保價錢,3,29,0.103448276,5.517241379
https://www.aig.com.hk/zh/personal/auto,車輛保險查詢,3,42,0.071428571,2.071428571
https://www.aig.com.hk/zh/personal/auto,aig保險,3,524,0.005725191,2.291984733
https://www.aig.com.hk/zh/personal/auto,aig 保险,3,128,0.0234375,3.59375
https://www.aig.com.hk/zh/personal/auto,aia汽車保險,3,16,0.1875,1.5
https://www.aig.com.hk/zh/personal/auto,aig車保好唔好,3,38,0.078947368,2
https://www.aig.com.hk/zh/personal/auto,汽車三保,3,57,0.052631579,3.421052632
https://www.aig.com.hk/zh/personal/auto,貨van保險幾錢,3,70,0.042857143,11.17142857
https://www.aig.com.hk/zh/personal/auto,安聯汽車保險,3,25,0.12,16.92
https://www.aig.com.hk/zh/personal/auto,車保推介,3,119,0.025210084,4.56302521
https://www.aig.com.hk/zh/personal/auto,汽車保險 香港,3,25,0.12,1.72
https://www.aig.com.hk/zh/personal/auto,輕型貨車保險,3,38,0.078947368,14.10526316
https://www.aig.com.hk/zh/personal/auto,安聯車保,3,143,0.020979021,9.314685315
https://www.aig.com.hk/zh/personal/auto,汽車保險價錢,3,90,0.033333333,3.311111111
https://www.aig.com.hk/zh/personal/auto,保險 汽車,2,10,0.2,1
https://www.aig.com.hk/zh/personal/auto,汽車保險優惠,2,6,0.333333333,9.333333333
https://www.aig.com.hk/zh/personal/auto,電動車保險比較,2,13,0.153846154,18.76923077
https://www.aig.com.hk/zh/personal/auto,客貨車保險價錢,2,64,0.03125,9.6875
https://www.aig.com.hk/zh/personal/auto,汽車保險臨時保單,2,27,0.074074074,3.888888889
https://www.aig.com.hk/zh/personal/auto,氣車保險,2,4,0.5,1.25
https://www.aig.com.hk/zh/personal/auto,awm 車保,2,274,0.00729927,7.237226277
https://www.aig.com.hk/zh/personal/auto,車保費,2,38,0.052631579,4.815789474
https://www.aig.com.hk/zh/personal/auto,電車保險,2,10,0.2,25.1
https://www.aig.com.hk/zh/personal/auto,汽車全保價錢,2,80,0.025,5.2
https://www.aig.com.hk/zh/personal/auto,aig公務員,2,7,0.285714286,16.14285714
https://www.aig.com.hk/zh/personal/auto,車保計算機香港,2,19,0.105263158,3.263157895
https://www.aig.com.hk/zh/personal/auto,臨時保單,2,155,0.012903226,8.858064516
https://www.aig.com.hk/zh/personal/auto,aig 保險,2,695,0.002877698,2.197122302
https://www.aig.com.hk/zh/personal/auto,axa車保,2,41,0.048780488,10.12195122
https://www.aig.com.hk/zh/personal/auto,车辆保险,2,42,0.047619048,2.238095238
https://www.aig.com.hk/zh/personal/auto,美譽保險,2,60,0.033333333,4.516666667
https://www.aig.com.hk/zh/personal/auto,車保比較平台,2,72,0.027777778,6.444444444
https://www.aig.com.hk/zh/personal/auto,汽車投保,2,15,0.133333333,1.333333333
https://www.aig.com.hk/zh/personal/auto,allianz車保報價,2,34,0.058823529,5.058823529
https://www.aig.com.hk/zh/personal/auto,汽車全險,2,6,0.333333333,1
https://www.aig.com.hk/zh/personal/auto,貨van保險,2,41,0.048780488,14.63414634
https://www.aig.com.hk/zh/personal/auto,車輛保險費,2,63,0.031746032,3.666666667
https://www.aig.com.hk/zh/personal/auto,汽車保險種類查詢,1,2,0.5,2.5
https://www.aig.com.hk/zh/personal/auto,貨van 保險,1,3,0.333333333,16
https://www.aig.com.hk/zh/personal/auto,汽車續保,1,48,0.020833333,3.166666667
https://www.aig.com.hk/zh/personal/auto,汽車保險 查詢,1,5,0.2,1
https://www.aig.com.hk/zh/personal/auto,貨車保險查詢,1,2,0.5,4
https://www.aig.com.hk/zh/personal/auto,網上保險報價,1,42,0.023809524,2.595238095
https://www.aig.com.hk/zh/personal/auto,汽車保險 推薦,1,27,0.037037037,5.481481481
https://www.aig.com.hk/zh/personal/auto,2000cc 保險費,1,5,0.2,4
https://www.aig.com.hk/zh/personal/auto,保險汽車,1,21,0.047619048,1
https://www.aig.com.hk/zh/personal/auto,aia 汽車保險,1,9,0.111111111,1.777777778
https://www.aig.com.hk/zh/personal/auto,車保優惠,1,10,0.1,3.9
https://www.aig.com.hk/zh/personal/auto,車全保價錢,1,15,0.066666667,9.6
https://www.aig.com.hk/zh/personal/auto,蘇黎世車保,1,2,0.5,39.5
https://www.aig.com.hk/zh/personal/auto,车保险价格,1,1,1,2
https://www.aig.com.hk/zh/personal/auto,車險續保,1,3,0.333333333,3.666666667
https://www.aig.com.hk/zh/personal/auto,三聯車保,1,42,0.023809524,9.857142857
https://www.aig.com.hk/zh/personal/auto,zurich 汽車保險,1,1,1,28
https://www.aig.com.hk/zh/personal/auto,美亞保險,1,401,0.002493766,2.159600998
https://www.aig.com.hk/zh/personal/auto,20年車保險,1,9,0.111111111,10.77777778
https://www.aig.com.hk/zh/personal/auto,汽車第三者保險價錢,1,16,0.0625,5.4375
https://www.aig.com.hk/zh/personal/auto,三保價錢,1,56,0.017857143,5.75
https://www.aig.com.hk/zh/personal/auto,汽車保險費,1,39,0.025641026,2.948717949
https://www.aig.com.hk/zh/personal/auto,車保推薦,1,35,0.028571429,5.6
https://www.aig.com.hk/zh/personal/auto,汽车保险公司,1,6,0.166666667,2.833333333
https://www.aig.com.hk/zh/personal/auto,aig auto,1,4,0.25,3
https://www.aig.com.hk/zh/personal/auto,allianz 車保,1,38,0.026315789,14.42105263
https://www.aig.com.hk/zh/personal/auto,汽車保險試算表,1,3,0.333333333,4.666666667
https://www.aig.com.hk/zh/personal/auto,臨時車保,1,82,0.012195122,5.390243902
https://www.aig.com.hk/zh/personal/auto,車輛 保險 查詢,1,20,0.05,1.9
https://www.aig.com.hk/zh/personal/auto,行車保險,1,9,0.111111111,1
https://www.aig.com.hk/zh/personal/auto,二手車保險試算,1,2,0.5,3
https://www.aig.com.hk/zh/personal/auto,awm車保好唔好,1,48,0.020833333,11.9375
https://www.aig.com.hk/zh/personal/auto,香港車保險,1,28,0.035714286,1.857142857
https://www.aig.com.hk/zh/personal/auto,車子保險,1,1,1,1
https://www.aig.com.hk/zh/personal/auto,三保最平2022,1,40,0.025,7.975
https://www.aig.com.hk/zh/personal/auto,車保cover note,1,7,0.142857143,18.57142857
https://www.aig.com.hk/zh/personal/auto,车险,1,82,0.012195122,3.634146341
https://www.aig.com.hk/zh/personal/auto,試車保價錢,1,19,0.052631579,18
https://www.aig.com.hk/zh/personal/auto,汽车 保险,1,10,0.1,1.4
https://www.aig.com.hk/zh/personal/auto,汽車臨時保險,1,29,0.034482759,4.551724138
https://www.aig.com.hk/zh/personal/auto,車 保,1,40,0.025,1.725
https://www.aig.com.hk/zh/personal/auto,保險車,1,41,0.024390244,1.341463415
https://www.aig.com.hk/zh/personal/auto,安聯 車保,1,36,0.027777778,9.583333333
https://www.aig.com.hk/zh/personal/auto,香港车险,1,12,0.083333333,3.833333333
https://www.aig.com.hk/zh/personal/auto,續車保,1,46,0.02173913,3.804347826
https://www.aig.com.hk/zh/personal/auto,axa 車保,1,69,0.014492754,10.01449275
https://www.aig.com.hk/zh/personal/auto,车保险公司,1,4,0.25,2.5
https://www.aig.com.hk/zh/personal/auto,全保價錢,1,56,0.017857143,8.535714286
https://www.aig.com.hk/zh/personal/auto,買車保險費用,1,26,0.038461538,4.730769231
https://www.aig.com.hk/zh/personal/auto,平安汽車保險,1,66,0.015151515,7.893939394
https://www.aig.com.hk/zh/personal/auto,cover note 車保,0,12,0,24.25
https://www.aig.com.hk/zh/personal/auto,汽車基本保險,0,2,0,4.5
https://www.aig.com.hk/zh/personal/auto,車保報價資料,0,1,0,10
https://www.aig.com.hk/zh/personal/auto,汽車保險價格,0,2,0,3
https://www.aig.com.hk/zh/personal/auto,的士保險墊底費,0,1,0,34
https://www.aig.com.hk/zh/personal/auto,車保 投保額,0,13,0,9.461538462
https://www.aig.com.hk/zh/personal/auto,網上 保險,0,3,0,27
https://www.aig.com.hk/zh/personal/auto,tesla 三保 推薦,0,1,0,24
https://www.aig.com.hk/zh/personal/auto,.aig,0,1,0,2
https://www.aig.com.hk/zh/personal/auto,查汽車保險,0,2,0,3.5
https://www.aig.com.hk/zh/personal/auto,車險怎麼保,0,1,0,11
https://www.aig.com.hk/zh/personal/auto,aig 香港,0,1,0,2
https://www.aig.com.hk/zh/personal/auto,車保險費用,0,2,0,6
https://www.aig.com.hk/zh/personal/auto,臨時保單幾耐,0,1,0,29
https://www.aig.com.hk/zh/personal/auto,车险公司,0,1,0,21
https://www.aig.com.hk/zh/personal/auto,私家車價錢,0,1,0,34
https://www.aig.com.hk/zh/personal/auto,tesla 汽車保險 優惠,0,1,0,28
https://www.aig.com.hk/zh/personal/auto,tesla 保險 報價,0,1,0,24
https://www.aig.com.hk/zh/personal/auto,臨時保險,0,26,0,8.692307692
https://www.aig.com.hk/zh/personal/auto,價格 網,0,4,0,54.5
https://www.aig.com.hk/zh/personal/auto,特斯拉 三保 報價,0,1,0,41
https://www.aig.com.hk/zh/personal/auto,aig電話,0,25,0,5.92
https://www.aig.com.hk/zh/personal/auto,汽車保險網上投保,0,4,0,1
https://www.aig.com.hk/zh/personal/auto,私家車種類,0,2,0,19.5
https://www.aig.com.hk/zh/personal/auto,貨車 保險,0,20,0,39.1
https://www.aig.com.hk/zh/personal/auto,的士保險費用,0,1,0,37
https://www.aig.com.hk/zh/personal/auto,富衛車保,0,42,0,7.714285714
https://www.aig.com.hk/zh/personal/auto,tesla 電動機車保險 優惠,0,1,0,95
https://www.aig.com.hk/zh/personal/auto,liberty 保險 價錢,0,3,0,46.66666667
https://www.aig.com.hk/zh/personal/auto,車房報價,0,2,0,27.5
https://www.aig.com.hk/zh/personal/auto,aig中国,0,1,0,3
https://www.aig.com.hk/zh/personal/auto,公務員爆假,0,28,0,17.39285714
https://www.aig.com.hk/zh/personal/auto,泰加車保,0,16,0,10.0625
https://www.aig.com.hk/zh/personal/auto,車牌保險查詢,0,2,0,5
https://www.aig.com.hk/zh/personal/auto,滊車,0,1,0,22
https://www.aig.com.hk/zh/personal/auto,電動車保險,0,5,0,47
https://www.aig.com.hk/zh/personal/auto,即時保,0,1,0,4
https://www.aig.com.hk/zh/personal/auto,汽車 保險 試算,0,18,0,1.888888889
https://www.aig.com.hk/zh/personal/auto,保險價格,0,2,0,11
https://www.aig.com.hk/zh/personal/auto,汽車全險費用,0,1,0,4
https://www.aig.com.hk/zh/personal/auto,會安心車保,0,1,0,12
https://www.aig.com.hk/zh/personal/auto,輕型#客貨車保險,0,2,0,15
https://www.aig.com.hk/zh/personal/auto,汽车 商业 保险,0,1,0,39
https://www.aig.com.hk/zh/personal/auto,萬車保,0,5,0,3
https://www.aig.com.hk/zh/personal/auto,保险 报价,0,2,0,18
https://www.aig.com.hk/zh/personal/auto,保保險,0,6,0,7.833333333
https://www.aig.com.hk/zh/personal/auto,汽車保險 試算,0,1,0,2
https://www.aig.com.hk/zh/personal/auto,三保 優惠,0,3,0,6.666666667
https://www.aig.com.hk/zh/personal/auto,保險公司,0,1,0,2
https://www.aig.com.hk/zh/personal/auto,model 3 保險,0,1,0,50
https://www.aig.com.hk/zh/personal/auto,中國銀行車保,0,1,0,10
https://www.aig.com.hk/zh/personal/auto,liberty 汽車保險 tesla 香港,0,1,0,16
https://www.aig.com.hk/zh/personal/auto,tesla 保險 香港,0,1,0,34
https://www.aig.com.hk/zh/personal/auto,電單車保險比較,0,3,0,18.33333333
https://www.aig.com.hk/zh/personal/auto,寶馬車匙換電香港,0,3,0,29.33333333
https://www.aig.com.hk/zh/personal/auto,貨車保險,0,15,0,18.86666667
https://www.aig.com.hk/zh/personal/auto,估價 網,0,1,0,98
https://www.aig.com.hk/zh/personal/auto,fwd 車保,0,3,0,35
https://www.aig.com.hk/zh/personal/auto,砌嘢,0,1,0,10
https://www.aig.com.hk/zh/personal/auto,汽車燕梳,0,2,0,5
